,СОШ,Наличие
1034,МКОУ ШУШИНСКАЯ СОШ,YES
1035,МКОУ ЯМАНСУЙСКАЯ СОШ,YES
1036,  Ногайский район,
1037,МКОУ Карагасская СОШ им К.Ш.Кидирниязова,YES
1038,МКОУ Кунбатарская СОШ им.М.К.Курманалиева,YES
1039,МКОУ Ленинаульская СОШ,YES
1040,МКОУ Нариманская СОШ им.Асанова А.Б.,YES
1041,МКОУ Терекли-Мектебская СОШ им А.Ш.Джанибекова,YES
1042,МКОУ Уй-Салганская ООШ,YES
1043,МКОУ Червленно-Бурунская СОШ им.З.Акмурзаева,YES
1044,МКОУ Шумлеликская СОШ,YES
1045,МКОУБатыр-Мурзаевская СОШ,YES
1046,МКОУБоранчинская СОШ им.К.Б.Оразбаева,
1047,МКОУКалининаульская средняя общеобразовательная школа им.С.И.Капаева,
1048,МКОУКарасувская СОШ,YES
1049,МКОУКумлинская СОШ им.Д.М.Шихмурзаева,
1050,МКОУОртатюбинская СОШ,YES
1051,МКОУТерекли-Мектебская СОШ им.Кадрии,
1052,МКОУЭдигейская СОШ,YES
1053,  Рутульский район,
1054,МКОУ Амсарская СОШ,
1055,МКОУ Атдальская НОШ,
1056,МКОУ Верхне-Катрухская СОШ,
1057,МКОУ Гельмецская СОШ,
1058,МКОУ Дженыхская СОШ им. М. Р. Гусейнова,
1059,МКОУ Джилихурская СОШ,
1060,МКОУ Ихрекская ООШ,
1061,МКОУ Ихрекская СОШ,
1062,МКОУ Калинская СОШ,YES
1063,МКОУ Кининская СОШ,
1064,МКОУ Кичинская СОШ,
1065,МКОУ Курдульская ООШ,
1066,МКОУ Кусурская НОШ,
1067,МКОУ Куфинская СОШ,
1068,МКОУ Лучекская СОШ,
1069,МКОУ Микикская СОШ,
1070,МКОУ Мишлешская СОШ,
1071,МКОУ Муслахская СОШ,
1072,МКОУ Мухахская НОШ,
1073,МКОУ Мюхрекская НОШ,
1074,МКОУ Нижне-Катрухская СОШ,
1075,МКОУ Рутульская СОШ №1 им. И.Гусейнова,
1076,МКОУ Рутульская СОШ №2 им.А.М.Мирзоева,YES
1077,МКОУ Согютская НОШ,
1078,МКОУ Хлютская СОШ,
1079,МКОУ Цахурская СОШ,
1080,МКОУ Цудикская СОШ,
1081,МКОУ Шиназкская НОШ,
1082,МКОУ Шиназская СОШ,
1083,МКОУ Аракульская СОШ,
1084,МКОУ Аранская СОШ,
1085,  Сергокалинский район,
1086,МКОУ  Маммаульская СОШ,YES
1087,МКОУ Аймаумахинская СОШ,YES
1088,МКОУ Аялизимахинская СОШ,YES
1089,МКОУ Балтамахинская СОШ,YES
1090,МКОУ Бурдекинская СОШ,YES
1091,МКОУ Бурхимахинская СОШ,YES
1092,МКОУ Дегвинская СОШ,YES
1093,МКОУ Кадиркентская СОШ,YES
1094,МКОУ Канасирагинская СОШ,YES
1095,МКОУ Кичигамринская СОШ,YES
1096,МКОУ Краснопартизанская СОШ,YES
1097,МКОУ Миглакасимахинская СОШ,YES
1098,МКОУ Мургукская СОШ,YES
1099,МКОУ Мюрегинская СОШ,YES
1100,МКОУ Нижнемахаргинская СОШ,YES
1101,МКОУ Нижнемулебкинская СОШ,YES
1102,МКОУ Новомугринская СОШ,YES
1103,МКОУ Сергокалинская СОШ №1,YES
1104,МКОУ Сергокалинская СОШ №2,YES
1105,МКОУ Цурмахинская НОШ,
1106,МКОУ Ванашимахинская СОШ ,YES
1107,МКОУ Урахинская СОШ ,YES
1108,  Сулейман-Стальский район,
1109,МКОУ Алкадарская СОШ,YES
1110,МКОУ АСАЛИКЕНТСКАЯ ООШ,YES
1111,МКОУ Ашагакартасская ООШ,YES
1112,МКОУ Ашагасталказмалярская СОШ,YES
1113,МКОУ Ашагастальская СОШ,YES
1114,МКОУ БУТКЕНТСКАЯ НОШ,
1115,МКОУ Герейхановская СОШ №1,YES
1116,МКОУ Герейхановская СОШ №2 ,YES
1117,МКОУ Даркушказмалярская СОШ,YES
1118,МКОУ Зизикская СОШ,YES
1119,МКОУ ЗУХРАБКЕНТСКАЯ ООШ,YES
1120,МКОУ Испикская ООШ,YES
1121,МКОУ Испикская СОШ,YES
1122,МКОУ Ичинская ООШ,YES
1123,МКОУ Касумкентская СОШ №1 ,
1124,МКОУ Касумкентская СОШ №2,YES
1125,МКОУ КАХЦУГСКАЯ СОШ,YES
1126,МКОУ КАЧАЛКЕНТСКАЯ ООШ,YES
1127,МКОУ Корчагская СОШ,
1128,МКОУ Куркентская СОШ №1,YES
1129,МКОУ КУРКЕНТСКАЯ СОШ №2,YES
1130,МКОУ Новомакинская СОШ,YES
1131,МКОУ НОВОПОСЕЛКОВАЯ СОШ,YES
1132,МКОУ Нютюгская СОШ,YES
1133,МКОУ Ортастальская СОШ,YES
1134,МКОУ Пиперкентская НОШ,
1135,МКОУ Птикентская ООШ,YES
1136,МКОУ САИДКЕНТСКАЯ СОШ,YES
1137,МКОУ САЙТАРКЕНТСКАЯ ООШ ,YES
1138,МКОУ Сардаркентская СОШ,YES
1139,МКОУ Татарханская НОШ,
1140,МКОУ УЛЛУГАТАГСКАЯ СОШ,YES
1141,МКОУ ХПЮКСКАЯ НОШ,
1142,МКОУ Хтунская НОШ,
1143,МКОУ ЦМУРСКАЯ СОШ,YES
1144,МКОУ Чухверкентская СОШ,YES
1145,МКОУ Шихикентская СОШ,YES
1146,МКОУ Экендильская НОШ,
1147,МКОУ Эминхюрская СОШ,YES
1148,МКОУ Юхарикартасская ООШ,YES
1149,МКОУ Юхаристальская сош,YES
1150,  Табасаранский район,
1151,МКОУ Аккинская СОШ,YES
1152,МКОУ Аракская СОШ им.Гюльмагомедова Г.Г.,YES
1153,МКОУ Аркитская СОШ им. Абдуллаева Н.И.,YES
1154,МКОУ Афнинская НОШ,
1155,МКОУ Бурганкетская СОШ,
1156,МКОУ Вечрикская НОШ,
1157,МКОУ Гасикская СОШ,YES
1158,МКОУ Гелинбатанская СОШ,YES
1159,МКОУ Гимназия Табасаранского района,YES
1160,МКОУ Гисикская ООШ,YES
1161,МКОУ Гувлигская СОШ,YES
1162,МКОУ Гуминская СОШ,YES
1163,МКОУ Гурикская СОШ,YES
1164,МКОУ Гурхунская СОШ,YES
1165,МКОУ Гюхрагская СОШ,YES
1166,МКОУ Дагнинская ООШ,YES
1167,МКОУ Дарвагская СОШ №1,YES
1168,МКОУ Дарвагская СОШ №2,YES
1169,МКОУ Джулинская СОШ,YES
1170,МКОУ Джульджагская СОШ,YES
1171,МКОУ Дюбекская СОШ им.Ю.Базутаева,
1172,МКОУ Ерсинская СОШ,YES
1173,МКОУ Зильская СОШ,YES
1174,МКОУ Кужникская СОШ,YES
1175,МКОУ Курекская СОШ,YES
1176,МКОУ Куркакская СОШ,YES
1177,МКОУ Кюрягская СОШ,YES
1178,МКОУ Лидженская ООШ,
1179,МКОУ Марагинская СОШ №1,YES
1180,МКОУ Марагинская СОШ №2,YES
1181,МКОУ Ничраская СОШ,YES
1182,МКОУ Новолидженская СОШ,YES
1183,МКОУ Пилигская СОШ,YES
1184,МКОУ Рушульская СОШ,YES
1185,МКОУ Сертильская СОШ,YES
1186,МКОУ Сиканская НОШ,
1187,МКОУ Сиртичская СОШ,YES
1188,МКОУ Татильская СОШ,YES
1189,МКОУ Тинитская СОШ,YES
1190,МКОУ Турагская СОШ,YES
1191,МКОУ Туруфская СОШ,YES
1192,МКОУ Улузская ООШ,YES
1193,МКОУ Ушнигская СОШ,YES
1194,МКОУ Фиргильская СОШ,YES
1195,МКОУ Халагская СОШ,YES
1196,МКОУ Ханагская СОШ,YES
1197,МКОУ Ханакская ООШ,YES
1198,МКОУ Хапильская СОШ им. М.Т. Рахметова,YES
1199,МКОУ Хархнинская НОШ,
1200,МКОУ Хили-Пенджикская СОШ,YES
1201,МКОУ Хурикская СОШ им Р.Гасанова,
1202,МКОУ Хурякская ООШ,YES
1203,МКОУ Хустильская СОШ,YES
1204,МКОУ Хучнинская СОШ №2,YES
1205,МКОУ Хучнинский многопрофильный лицей №1,YES
1206,МКОУ Цанакская СОШ,YES
1207,МКОУ Цуртильская СОШ,YES
1208,МКОУ Цухтыгская СОШ  им.Т.Г. Юнусова,YES
1209,МКОУ Чулатская СОШ,YES
1210,МКОУ Шиленская СОШ,YES
1211,МКОУ Ягдыгская СОШ №1,YES
1212,МКОУ Ягдыгская СОШ №2,YES
1213,  Тарумовский район,
1214,МКОУ Тарумовская СОШ,YES
1215,МКОУ Таловская СОШ,YES
1216,МКОУ Н-Романовская СОШ,
1217,МКОУ Калиновская СОШ,YES
1218,МКОУ Н-Дмитриевская СОШ,
1219,МКОУ Кочубейская СОШ №1,
1220,МКОУ Привольненская СОШ,YES
1221,МКОУ Юрковская СОШ,YES
1222,МКОУ А-Невская СОШ,YES
1223,МКОУ Н-Георгиевская СОШ,
1224,МКОУ Карабаглинская СОШ,YES
1225,МКОУ Раздольевская СОШ,
1226,МКОУ Рассветовская СОШ,YES
1227,МКОУ Кочубейская СОШ №2,YES
1228,МКОУ Коктюбейская ООШ,YES
1229,МКОУ Кузнецовская ООШ,
1230,МКОУ Иммунная ООШ,
1231,МКОУ  М-Горьковская НОШ,
1232,  Тляратинский район,
1233,МКОУ  Харадинская НОШ,
1234,МКОУ Албанская НОШ,
1235,МКОУ Барнабская ООШ,YES
1236,МКОУ Бежудинская НОШ,
1237,МКОУ Бетельдинская СОШ,
1238,МКОУ ВТохотинская НОШ,
1239,МКОУ Гараколобская ООШ,
1240,МКОУ Гведышинская СОШ,YES
1241,МКОУ Генеколобская СОШ,YES
1242,МКОУ Герельская НОШ,
1243,МКОУ Гозодинская НОШ,
1244,МКОУ Жажадинская НОШ,
1245,МКОУ Камилюхская СОШ,
1246,МКОУ Кардибская ООШ,
1247,МКОУ Кардибская СОШ,
1248,МКОУ Колобская СОШ,
1249,МКОУ Кособская СОШ,
1250,МКОУ Куданская НОШ,
1251,МКОУ Кутлабская СОШ,YES
1252,МКОУ Мазадинская СОШ,YES
1253,МКОУ Начадинская СОШ,YES
1254,МКОУ Никлидинская НОШ,
1255,МКОУ Нитиицухская НОШ,
1256,МКОУ Нурухская НОШ,
1257,МКОУ Роснобская ООШ,
1258,МКОУ Салдинская НОШ,
1259,МКОУ Саниортинская ООШ,
1260,МКОУ Сикарская СОШ,
1261,МКОУ Талцухская СОШ,
1262,МКОУ Тамудинская НОШ,
1263,МКОУ Тинчудинская НОШ,
1264,МКОУ Тлянадинская ООШ,
1265,МКОУ Тляратинская СОШ ,YES
1266,МКОУ Тохотинская СОШ,
1267,МКОУ Укальская СОШ,
1268,МКОУ Урадинская НОШ,
1269,МКОУ Хадияльская СОШ,
1270,МКОУ Хидибская СОШ,
1271,МКОУ Хиндахская ООШ,YES
1272,МКОУ Хотлобская НОШ,
1273,МКОУ Цумилюхская СОШ,
1274,МКОУ Чадаколобская СОШ ,YES
1275,МКОУ Чородинская НОШ,
1276,МКОУ Шидибская НОШ,
1277,МКОУ Шидибская СОШ,YES
1278,  Унцукульский район,
1279,МКОУ Унцукульская СОШ № 1 ,YES
1280,МКОУ Унцукульская СОШ № 2,YES
1281,МКОУ Ашильтинская СОШ,YES
1282,МКОУ Гимринская СОШ,
1283,МКОУ Шамилькалинская СОШ,YES
1284,МКОУ Ирганайская СОШ,YES
1285,МКОУ Араканская СОШ,YES
1286,МКОУ Зиранинская СОШ,YES
1287,МКОУ Балаханская СОШ,
1288,МКОУ Кахабросинская СОШ,
1289,МКОУ Цатанихская СОШ,YES
1290,МКОУ Гимринская поселковая СОШ,
1291,МКОУ Иштибуринская ООШ,
1292,МКОУ Харачинская ООШ,
1293,МКОУ Моксохская ООШ,
1294,  Хасавюртовский район,
1295,МБОУ Аксайская школа-интернат,
1296,МБОУ Аджимажагатюртовская СОШ,YES
1297,МБОУ Адильотарская СОШ,YES
1298,МБОУ Акбулатюртовская СОШ,YES
1299,МБОУ Аксайская СОШ № 1 им. З.Н.Батырмурзаева,YES
1300,МБОУ Аксайская СОШ № 2 им. Х.Г.Магидова,YES
1301,МБОУ Байрамаульская СОШ,YES
1302,МБОУ Бамматюртовская СОШ,YES
1303,МБОУ Борагангечувская СОШ,YES
1304,МБОУ Боташюртовская СОШ им. Б.Т.Ахаева,
1305,МБОУ Ботаюртовская СОШ им. Н.П.Жердева,YES
1306,МБОУ Генжеаульская СОШ им. М.М.Зумаева,YES
1307,МБОУ Гоксувотарская СОШ,YES
1308,МБОУ Дзержинская СОШ,YES
1309,МБОУ Ичичалинская СОШ им. Б.Г.Битарова,YES
1310,МБОУ Кадыротарская СОШ,YES
1311,МБОУ Казмааульская СОШ,YES
1312,МБОУ Кандаураульская СОШ им. О.К.Кандаурова,YES
1313,МБОУ Карланюртовская СОШ им. А.Д.Шихалиева,YES
1314,МБОУ Кемсиюртовская СОШ,YES
1315,МБОУ Кокрекская СОШ,YES
1316,МБОУ Костекская СОШ им. Б.Ш.Бакиева,YES
1317,МБОУ Курушская СОШ № 1 им. А.Б.Айдунова,YES
1318,МБОУ Курушская СОШ № 2 им. Я.С.Аскандарова,YES
1319,МБОУ Могилевская СОШ им. Н.У.Азизова,YES
1320,МБОУ Моксобская СОШ им. О-Г.М.Шахтаманова,YES
1321,МБОУ Муцалаульская СОШ № 1 им. А.Я.Абдуллаева,YES
1322,МБОУ Муцалаульская СОШ № 2,YES
1323,МБОУ Новогагатлинская СОШ им. Х.С.Салимова,YES
1324,МБОУ Новокостекская СОШ,YES
1325,МБОУ Новосаситлинская СОШ,YES
1326,МБОУ Новосельская СОШ,YES
1327,МБОУ Нурадиловская гимназия Культуры мира им. А.Д.Адилсолтанова,YES
1328,МБОУ Октябрьская СОШ,YES
1329,МБОУ Османюртовская СОШ им. И.А.Бейбулатова,YES
1330,МБОУ Первомайская СОШ им. И.Г.Исакова,YES
1331,МБОУ Петраковская СОШ,YES
1332,МБОУ Покровская СОШ,YES
1333,МБОУ Пятилеткинская СОШ,YES
1334,МБОУ Садовая СОШ,YES
1335,МБОУ Сивухская СОШ,YES
1336,МБОУ Советская СОШ им. Ш.Т.Амичева,YES
1337,МБОУ Солнечная СОШ,YES
1338,МБОУ ст.Карланюртовская СОШ,
1339,МБОУ Сулевкентская СОШ им. С.А.Абдуллаева,YES
1340,МБОУ Темираульская СОШ им. Б.Ш.Баймурзаева,YES
1341,МБОУ Теречная СОШ,YES
1342,МБОУ Тотурбийкалинская СОШ им. А.К.Кабардиева,YES
1343,МБОУ Тукитинская СОШ,YES
1344,МБОУ Хамавюртовская СОШ им. А.М.Аджиева,YES
1345,МБОУ Чагаротарская СОШ им. А.И.Исмаилова,YES
1346,МБОУ Шагадинская СОШ,YES
1347,МБОУ Эндирейская СОШ № 1,YES
1348,МБОУ Эндирейская СОШ № 2 им. А.А.Алиханова,YES
1349,  Хивский район,
1350,МКОУ  Ново-Фригская СОШ,YES
1351,МКОУ Арчугская НОШ,YES
1352,МКОУ Атрикская НОШ,YES
1353,МКОУ Ашага-Архитская СОШ им.С.А.Аллахвердиева,
1354,МКОУ Ашага-Яракская СОШ,YES
1355,МКОУ Зазинская НОШ,
1356,МКОУ Захитская СОШ,YES
1357,МКОУ Зильдикская ООШ им.С.А.Алиева,YES
1358,МКОУ Кандикская СОШ им.Б.Митарова,YES
1359,МКОУ Кувигская НОШ,
1360,МКОУ Кугская СОШ им.Б.Байрамбекова,YES
1361,МКОУ Ляхлинская СОШ,YES
1362,МКОУ Сюгютская СОШ имени М.Митарова,
1363,МКОУ Ургинская СОШ,YES
1364,МКОУ Уртильская НОШ,
1365,МКОУ Фурдагская НОШ,
1366,МКОУ Хивская СОШ им. М.Шамхалова,
1367,МКОУ Цудукская ООШ,YES
1368,МКОУ Черенская ООШ,YES
1369,МКОУ Чиликарская ООШ,YES
1370,МКОУ Ю-Архитская НОШ,
1371,МКОУ Яргильская НОШ,
1372,МКОУАсакентская НОШ,
1373,МКОУДардаркентская НОШ,
1374,МКОУКанцильская СОШ,YES
1375,МКОУКашкентская СОШ,YES
1376,МКОУКуштильская СОШ,YES
1377,МКОУЛакинская ООШ им.Д.А.Раджабова,
1378,МКОУМежгюльская СОШ,YES
1379,МКОУХореджская СОШ,YES
1380,МКОУЦинитская СОШ им.Магомедова А.М.,
1381,МКОУЦнальская СОШ им.Н.А.Велиханова,
1382,МКОУЧувекская СОШ им.А.Сефербекова,
1383,МКОУЮхари-Яракская ООШ им.А.М.Юсуфова,
1384,  Хунзахский район,
1385,МКОУ  Амущинская СОШ,
1386,МКОУ  Аранинская СОШ,
1387,МКОУ  Ахалчинская СОШ,
1388,МКОУ  Батлаичская СОШ,
1389,МКОУ  Буцринская СОШ,
1390,МКОУ  Гоцатлинская СОШ,YES
1391,МКОУ  Мочохская СОШ,
1392,МКОУ  Новобуцринская СОШ,
1393,МКОУ  Ободинская СОШ,
1394,МКОУ  Оротинская СОШ,
1395,МКОУ Тагадинская СОШ,
1396,МКОУ  Танусинская СОШ,
1397,МКОУ  Тлайлухская СОШ,
1398,МКОУ  Уздалросинская СОШ,
1399,МКОУ  Харахинская СОШ,
1400,МКОУ  Хариколинская СОШ,
1401,МКОУ  Хиндахская СОШ,YES
1402,МКОУ   Хунзахская СОШ № 1,YES
1403,МКОУ  Хунзахская СОШ № 2,YES
1404,МКОУ  Хунзахская сош интер.,YES
1405,МКОУ  Гацалухская ООШ,
1406,МКОУ Заибская ООШ,
1407,МКОУ Кахская ООШ,
1408,МКОУ  Оркачинская ООШ,
1409,МКОУ  Очлинская ООШ,
1410,МКОУ  Сиухская ООШ,
1411,МКОУ  Цадинская ООШ,
1412,МКОУ  Шотодинская ООШ,
1413,МКОУ  Байитлинская НОШ,
1414,МКОУ  Гиничутлинская НОШ,
1415,МКОУ  Гозоколинская НОШ,
1416,МКОУ Гортколинская НОШ,
1417,МКОУ Гонохская НОШ,
1418,МКОУ  Колинская НОШ,
1419,МКОУ  Накитлинская НОШ,
1420,МКОУ  Хининская НОШ,
1421,МКОУ  Цалкитинская НОШ,
1422,МКОУ  Чондотлинская НОШ,
1423,МКОУ  Эбутинская НОШ,
1424,  Цумадинский район,
1425,МКОУ Агвалинская гимназия имени Кади Абакарова,YES
1426,МКОУ Верхнегакваринская СОШ-детский сад,YES
1427,МКОУ Гадиринская ООШ-детский сад,
1428,МКОУ Гаккойская СОШ,YES
1429,МКОУ Гигатли -Урухская ООШ,
1430,МКОУ Гигатлинская СОШ,YES
1431,МКОУ Гимерсинская СОШ,YES
1432,МКОУ Кванадинская СОШ,YES
1433,МКОУ Кединская СОШ,YES
1434,МКОУ Метрадинская СОШ,YES
1435,МКОУ Нижнегакваринская СОШ-детский сад,
1436,МКОУ Нижнеинхокваринская СОШ,YES
1437,МКОУ Саситлинская СОШ,YES
1438,МКОУ Сильдинская СОШ,YES
1439,МКОУ Тиндинская СОШ,YES
1440,МКОУ Тисси-Ахитлинская СОШ,YES
1441,МКОУ Тиссинская СОШ,YES
1442,МКОУ Тлондодинская СОШ,YES
1443,мКОУ Хонохская СОШ,
1444,МКОУ Хушетская СОШ,YES
1445,МКОУ Хуштадинская СОШ- детский сад,
1446,МКОУ Эчединская СОШ- детский сад,
1447,  Цунтинский район,
1448,МКОУ Асахская СОШ,
1449,МКОУ Генухская СОШ,
1450,МКОУ Гутатлинская СОШ,
1451,МКОУ Кидеринская СОШ,
1452,МКОУ Китуринская СОШ,
1453,МКОУ Махалатлинская СОШ,
1454,МКОУ Междуреченская СОШ,
1455,МКОУ Мекалинская СОШ,
1456,МКОУ Мококская СОШ,
1457,МКОУ Ретлобская СОШ,YES
1458,МКОУ Сагадинская СОШ,
1459,МКОУ Хебатлинская СОШ,
1460,МКОУ Хупринская СОШ,
1461,МКОУ Хутрахская СОШ,
1462,МКОУ Хибятлинская СОШ,
1463,МКОУ Цебаринская СОШ,
1464,МКОУ Шауринская СОШ,
1465,МКОУ Шапихская СОШ,
1466,МКОУ Шаитлинская СОШ,
1467,МКОУ Зехидинская ООШ,
1468,  Чародинский район,
1469,МКОУ Алчунибская НОШ,
1470,МКОУ Арчибская СОШ,YES
1471,МКОУ Гилибская СОШ,YES
1472,МКОУ Гимитлинская НОШ,
1473,МКОУ Гочобская СОШ,YES
1474,МКОУ Доронубская НОШ,
1475,МКОУ Дусрахская СОШ,YES
1476,МКОУ Ирибская СОШ,YES
1477,МКОУ Кубатлинская НОШ,
1478,МКОУ Кутихская НОШ,
1479,МКОУ Магарская СОШ,YES
1480,МКОУ Ритлябская НОШ,
1481,МКОУ Сачадинская ООШ,
1482,МКОУ Тлярабазутлинская НОШ,
1483,МКОУ Тлярошская СОШ,YES
1484,МКОУ Урухсотинская НОШ,
1485,МКОУ Утлухская НОШ,
1486,МКОУ Хилихская НОШ,
1487,МКОУ Хитабская НОШ,
1488,МКОУ Цемерская ООШ,
1489,МКОУ Цулдинская ООШ,
1490,МКОУ Цурибская СОШ,YES
1491,МКОУ Чародинская ООШ,
1492,МКОУ Читабская НОШ,
1493,МКОУ Шалибская ООШ,
1494,  Шамильский район,
1495,МКОУ  Андыхская СОШ,YES
1496,МКОУ  Батлухская НОШ,YES
1497,МКОУ  Батлухская СОШ,
1498,МКОУ  Верхнеколобская СОШ,YES
1499,МКОУ  Геницоробская НОШ,
1500,МКОУ  Гентинская СОШ,YES
1501,МКОУ  Гоготлинская СОШ,YES
1502,МКОУ  Голотлинская СОШ,YES
1503,МКОУ  Гоорская СОШ,YES
1504,МКОУ  Гоорхиндахская НОШ,
1505,МКОУ  Дагбашская ООШ,YES
1506,МКОУ  Датунатинская НОШ,
1507,МКОУ  Занатинская НОШ ,
1508,МКОУ  Зиурибская ООШ,YES
1509,МКОУ  Кахибская СОШ,YES
1510,МКОУ  Митлиурибская ООШ,YES
1511,МКОУ  Накитлинская НОШ,
1512,МКОУ  Нитабская НОШ,
1513,МКОУ  НОШ Радость ,YES
1514,МКОУ  Ратлубская СОШ,YES
1515,МКОУ  Ругельдинская СОШ,YES
1516,МКОУ  Сомодинская НОШ,
1517,МКОУ  Телетлинская СОШ №1,YES
1518,МКОУ  Телетлинская СОШ №2,YES
1519,МКОУ  Тидибская СОШ,YES
1520,МКОУ  Тлездинская НОШ,
1521,МКОУ  Тогохская СОШ,YES
1522,МКОУ  Урибская СОШ,
1523,МКОУ  Хамакалинская НОШ,
1524,МКОУ  Хебдинская СОШ,YES
1525,МКОУ  Хонохская НОШ,
1526,МКОУ  Хородинская НОШ,
1527,МКОУ  Хучадинская ООШ,YES
1528,МКОУ  Цекобская НОШ,
1529,МКОУ Ассабская СОШ им. С. Д. Омарова,YES
1530,МКОУ Верхнебатлухская СОШ,YES
1531,МКОУ Куанибская ООШ,YES
1532,МКОУ Мачадинская СОШ,YES
1533,МКОУ Могохская ООШ,YES
1534,МКОУ Мусрухская НОШ,
1535,МКОУ Ругельдахиндахская НОШ,
1536,МКОУ Тлянубская ООШ,
1537,МКОУ Тляхская СОШ,YES
1538,МКОУ Урадинская СОШ,YES
1539,МКОУ Урчухская НОШ,
1540,МКОУ Хотодинская СОШ,YES
